pathway	pval	padj	log2err	ES	NES	size
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.00125144632028535	0.00681342996599799	0.45505986738723	0.55148500663936	1.92707954327642	32
HALLMARK_MITOTIC_SPINDLE	6.02255188002138e-08	1.26039624898631e-06	0.704975715167238	0.397232001462703	1.91216863787178	197
HALLMARK_HEME_METABOLISM	0.000599611240422967	0.00367261884759068	0.477270815362862	0.324120936793018	1.50923954941018	165
HALLMARK_BILE_ACID_METABOLISM	0.00993839686265999	0.027922814995659	0.380730400722792	0.357372027896505	1.50902292871356	76
HALLMARK_ANDROGEN_RESPONSE	0.00672932828257673	0.0219824723897507	0.407017918923954	0.34655730687848	1.49319440905385	90
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00200887303250347	0.00894861623569728	0.431707695803346	0.317389511955761	1.47796871413547	150
HALLMARK_PROTEIN_SECRETION	0.0102573606106502	0.027922814995659	0.380730400722792	0.336308176203008	1.45149290631498	91
HALLMARK_G2M_CHECKPOINT	0.00167790372289681	0.00822172824219436	0.45505986738723	0.296100023649643	1.42534633869145	197
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00899777875660644	0.0275556974421072	0.380730400722792	0.312564189225201	1.3953921874574	109
HALLMARK_APICAL_JUNCTION	0.00585902476396273	0.0205065866738695	0.407017918923954	0.298611214403616	1.39052494160569	150
HALLMARK_E2F_TARGETS	0.00262086327493937	0.00987863849784839	0.431707695803346	0.288603797013171	1.38821587392628	199
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00260901953852347	0.00987863849784839	0.431707695803346	-0.390875732413587	-1.52247368896995	179
HALLMARK_COMPLEMENT	0.000233008996089825	0.00163106297262878	0.518848077743792	-0.430201114020201	-1.66348354136484	154
HALLMARK_INFLAMMATORY_RESPONSE	3.33399263268631e-05	0.000326731278003258	0.557332238758646	-0.462623786779698	-1.77268196343895	143
HALLMARK_ALLOGRAFT_REJECTION	1.80816461843922e-05	0.000221500165758804	0.575610261071129	-0.470427849402762	-1.81289880025342	149
HALLMARK_IL6_JAK_STAT3_SIGNALING	4.20291031731071e-05	0.000343237675913708	0.557332238758646	-0.548154638227352	-1.91404628516562	72
HALLMARK_INTERFERON_ALPHA_RESPONSE	7.71671172848759e-08	1.26039624898631e-06	0.704975715167238	-0.573034444801635	-2.09854951573283	97
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.85442843488907e-11	1.39866993309565e-09	0.863415391606693	-0.548639102690712	-2.14227865588018	182
