pathway	pval	padj	log2err	ES	NES	size
HALLMARK_E2F_TARGETS	1.58660535763272e-08	2.56193261545706e-07	0.73376198835648	0.466943090730526	2.04492630262207	199
HALLMARK_MITOTIC_SPINDLE	3.67809063305409e-08	3.67809063305409e-07	0.719512826338911	0.447875116757078	1.95068714426854	197
HALLMARK_G2M_CHECKPOINT	5.86922370021507e-08	4.19230264301076e-07	0.719512826338911	0.444966545627027	1.93801907654318	197
HALLMARK_IL2_STAT5_SIGNALING	0.0135522224289715	0.0398594777322692	0.380730400722792	-0.356219160134486	-1.41693920871965	163
HALLMARK_MYOGENESIS	0.00412400767971136	0.012887523999098	0.407017918923954	-0.384100634350608	-1.50133029838122	152
HALLMARK_ALLOGRAFT_REJECTION	0.000991318783941025	0.00330439594647008	0.45505986738723	-0.409153771741736	-1.60186813635637	154
HALLMARK_KRAS_SIGNALING_UP	0.000150394365718562	0.00062664319049401	0.518848077743792	-0.433358273643509	-1.69386313921392	152
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000383713153719432	0.00137040412042654	0.49849310876659	-0.479466102038434	-1.76770979283491	97
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.35647423871427e-06	4.17823711935713e-05	0.593325476396405	-0.45564256119682	-1.8406234872739	184
HALLMARK_HYPOXIA	2.97139727781616e-06	1.65077626545342e-05	0.627256739718528	-0.467278823164129	-1.87504283138685	172
HALLMARK_COAGULATION	5.78347605360623e-05	0.00026288527516392	0.557332238758646	-0.515524409466505	-1.89343596603866	93
HALLMARK_ANGIOGENESIS	0.000190408635871275	0.000732340907197212	0.518848077743792	-0.678099407679955	-1.99461467655538	30
HALLMARK_COMPLEMENT	6.7280825631335e-08	4.20505160195844e-07	0.704975715167238	-0.513758291272462	-2.01416622312071	156
HALLMARK_INFLAMMATORY_RESPONSE	2.04954609236565e-08	2.56193261545706e-07	0.73376198835648	-0.538691918999043	-2.09966635787634	145
HALLMARK_IL6_JAK_STAT3_SIGNALING	4.41996871207264e-08	3.68330726006054e-07	0.719512826338911	-0.633997542114011	-2.21539263618191	72
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	6.62076103027771e-12	1.65519025756943e-10	0.887074988399873	-0.56185522362899	-2.23991148056255	167
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.46123346382784e-13	7.30616731913921e-12	0.943632225232838	-0.578717766856104	-2.33700864123677	181
