Genes	Modules
ENSMUSG00000000399	midnightblue
ENSMUSG00000000555	midnightblue
ENSMUSG00000000628	midnightblue
ENSMUSG00000000731	midnightblue
ENSMUSG00000000826	midnightblue
ENSMUSG00000001270	midnightblue
ENSMUSG00000001472	midnightblue
ENSMUSG00000002778	midnightblue
ENSMUSG00000003031	midnightblue
ENSMUSG00000003541	midnightblue
ENSMUSG00000003865	midnightblue
ENSMUSG00000004040	midnightblue
ENSMUSG00000005125	midnightblue
ENSMUSG00000005413	midnightblue
ENSMUSG00000005514	midnightblue
ENSMUSG00000005667	midnightblue
ENSMUSG00000005881	midnightblue
ENSMUSG00000006418	midnightblue
ENSMUSG00000006699	midnightblue
ENSMUSG00000007564	midnightblue
ENSMUSG00000007659	midnightblue
ENSMUSG00000011752	midnightblue
ENSMUSG00000014402	midnightblue
ENSMUSG00000014748	midnightblue
ENSMUSG00000014959	midnightblue
ENSMUSG00000015149	midnightblue
ENSMUSG00000015671	midnightblue
ENSMUSG00000015837	midnightblue
ENSMUSG00000016559	midnightblue
ENSMUSG00000017009	midnightblue
ENSMUSG00000017221	midnightblue
ENSMUSG00000017390	midnightblue
ENSMUSG00000017677	midnightblue
ENSMUSG00000017760	midnightblue
ENSMUSG00000018042	midnightblue
ENSMUSG00000018932	midnightblue
ENSMUSG00000019055	midnightblue
ENSMUSG00000019173	midnightblue
ENSMUSG00000019210	midnightblue
ENSMUSG00000019432	midnightblue
ENSMUSG00000019558	midnightblue
ENSMUSG00000019854	midnightblue
ENSMUSG00000019923	midnightblue
ENSMUSG00000020108	midnightblue
ENSMUSG00000020184	midnightblue
ENSMUSG00000020263	midnightblue
ENSMUSG00000020402	midnightblue
ENSMUSG00000020458	midnightblue
ENSMUSG00000020720	midnightblue
ENSMUSG00000020777	midnightblue
ENSMUSG00000020894	midnightblue
ENSMUSG00000021076	midnightblue
ENSMUSG00000021190	midnightblue
ENSMUSG00000021250	midnightblue
ENSMUSG00000021417	midnightblue
ENSMUSG00000021477	midnightblue
ENSMUSG00000021486	midnightblue
ENSMUSG00000021660	midnightblue
ENSMUSG00000021748	midnightblue
ENSMUSG00000021831	midnightblue
ENSMUSG00000022089	midnightblue
ENSMUSG00000022280	midnightblue
ENSMUSG00000022312	midnightblue
ENSMUSG00000022324	midnightblue
ENSMUSG00000022336	midnightblue
ENSMUSG00000022500	midnightblue
ENSMUSG00000022564	midnightblue
ENSMUSG00000022707	midnightblue
ENSMUSG00000023009	midnightblue
ENSMUSG00000023010	midnightblue
ENSMUSG00000023026	midnightblue
ENSMUSG00000023067	midnightblue
ENSMUSG00000023191	midnightblue
ENSMUSG00000023951	midnightblue
ENSMUSG00000024091	midnightblue
ENSMUSG00000024359	midnightblue
ENSMUSG00000024404	midnightblue
ENSMUSG00000024659	midnightblue
ENSMUSG00000024661	midnightblue
ENSMUSG00000025025	midnightblue
ENSMUSG00000025027	midnightblue
ENSMUSG00000025103	midnightblue
ENSMUSG00000025130	midnightblue
ENSMUSG00000025151	midnightblue
ENSMUSG00000025190	midnightblue
ENSMUSG00000025408	midnightblue
ENSMUSG00000025410	midnightblue
ENSMUSG00000025465	midnightblue
ENSMUSG00000025510	midnightblue
ENSMUSG00000025630	midnightblue
ENSMUSG00000025791	midnightblue
ENSMUSG00000025917	midnightblue
ENSMUSG00000026421	midnightblue
ENSMUSG00000026426	midnightblue
ENSMUSG00000026457	midnightblue
ENSMUSG00000026728	midnightblue
ENSMUSG00000026879	midnightblue
ENSMUSG00000026914	midnightblue
ENSMUSG00000027170	midnightblue
ENSMUSG00000027506	midnightblue
ENSMUSG00000028063	midnightblue
ENSMUSG00000028128	midnightblue
ENSMUSG00000028138	midnightblue
ENSMUSG00000028291	midnightblue
ENSMUSG00000028463	midnightblue
ENSMUSG00000028618	midnightblue
ENSMUSG00000028645	midnightblue
